label,e,s,m,mb,ttr_s1,ttr_s2,ttr_s3,median_ttr,n_dnf
e32_s16_m4_u4,32,16,4,128,455.941543340683,433.49849224090576,243.3351924419403,433.49849224090576,0
e32_s16_m8_u4,32,16,8,64,836.7135572433472,801.480877161026,,836.7135572433472,1
e64_s16_m4_u4,64,16,4,256,470.02743124961853,351.119024515152,369.44353222846985,369.44353222846985,0
e64_s16_m8_u4,64,16,8,128,453.4258008003235,349.2769854068756,370.59961318969727,370.59961318969727,0
e64_s16_m16_u4,64,16,16,64,552.4134902954102,514.0278260707855,617.4848735332489,552.4134902954102,0
e128_s16_m4_u4,128,16,4,512,318.7877254486084,342.5205898284912,499.58749127388,342.5205898284912,0
e128_s16_m8_u4,128,16,8,256,261.14066529273987,373.3165307044983,311.04297399520874,311.04297399520874,0
e128_s16_m16_u4,128,16,16,128,239.4467363357544,299.04620575904846,339.4282455444336,299.04620575904846,0
e128_s16_m32_u4,128,16,32,64,604.2553482055664,462.1352126598358,597.008044719696,597.008044719696,0
e256_s16_m4_u4,256,16,4,1024,372.93983125686646,341.07811284065247,291.1232500076294,341.07811284065247,0
e256_s16_m8_u4,256,16,8,512,244.94491171836853,295.9170775413513,291.5381145477295,291.5381145477295,0
e256_s16_m16_u4,256,16,16,256,228.62038731575012,290.8254909515381,316.59786009788513,290.8254909515381,0
e256_s16_m32_u4,256,16,32,128,243.69883370399475,263.5050241947174,363.04708075523376,263.5050241947174,0
e256_s16_m64_u4,256,16,64,64,365.2195830345154,380.59527111053467,443.4482538700104,380.59527111053467,0
e32_s128_m64_u4,32,128,64,64,584.5971958637238,605.5605537891388,798.4623470306396,605.5605537891388,0
e64_s64_m64_u4,64,64,64,64,,524.7810304164886,670.9239568710327,670.9239568710327,1
e64_s128_m64_u4,64,128,64,128,467.78011107444763,452.5838871002197,432.21452927589417,452.5838871002197,0
e128_s32_m64_u4,128,32,64,64,413.4561884403229,730.8450791835785,594.4876945018768,594.4876945018768,0
e128_s64_m64_u4,128,64,64,128,370.1092290878296,337.0072228908539,407.6169204711914,370.1092290878296,0
e128_s128_m64_u4,128,128,64,256,383.76339292526245,315.3338325023651,328.5094327926636,328.5094327926636,0
e256_s32_m64_u4,256,32,64,128,299.447448015213,350.19248247146606,281.26445174217224,299.447448015213,0
e256_s64_m64_u4,256,64,64,256,296.55705642700195,287.8236665725708,331.71528816223145,296.55705642700195,0
e256_s128_m64_u4,256,128,64,512,329.81884121894836,336.54000186920166,365.8600926399231,336.54000186920166,0
e64_s128_m128_u4,64,128,128,64,524.8457870483398,703.5368905067444,603.2143564224243,603.2143564224243,0
e128_s64_m128_u4,128,64,128,64,490.4471595287323,608.9394452571869,571.8279490470886,571.8279490470886,0
e128_s128_m128_u4,128,128,128,128,346.066969871521,398.1757187843323,376.9738962650299,376.9738962650299,0
e256_s32_m128_u4,256,32,128,64,659.321346282959,446.2449643611908,579.2176883220673,579.2176883220673,0
e256_s64_m128_u4,256,64,128,128,368.98319840431213,419.2851445674896,367.91964864730835,368.98319840431213,0
e256_s128_m128_u4,256,128,128,256,358.8387703895569,349.0488443374634,399.21024775505066,358.8387703895569,0
